size (nxn),num_holes,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts
2,2,0.0002,48.415,152.4,0,0,0,0,0
3,6,0.00030000000000000003,50.098,539.7,0,0,0,0,0
4,12,0.0021,50.126,2429.9,25.1,0.9,0,1.8,0
5,20,0.0024000000000000002,50.208,4242.5,40,0,0.2,0,0
6,30,0.003,50.266,5853.8,59.8,0,0,0,0
7,42,0.0041,50.353,8132.4,84,0,0,0,0
8,56,0.0054,50.331,10580.2,112,0,0,0,0
9,72,0.0063,50.351,13759.2,144,0,0,0,0
10,90,0.007,50.339,16868.6,180,0,0,0,0
