val_range,time,memory,rlimit count,mk bool var,mk clause,decisions,propagations,conflicts
[1, 3],0.0022,48.477,2433.1,26.5,1.1,0,1.6,0
[4, 6],0.002,50.124,2318.8,21.8,0.7,0,1.4,0
[7, 9],0.002,50.128,2453.1,26.6,0.9,0,1.5,0
[1, 9],0.002,50.128,2463.6,26.4,1,0,2,0
